patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens
US3300061A,1964-07-23,Mast,['PROPN'],[],1,0,2,['mast']
US3300125A,1965-04-22,Compressor,['PROPN'],[],1,0,2,['compressor']
US3300165A,1965-07-27,Tripod,['PROPN'],[],1,0,2,['tripod']
US3300233A,1965-02-19,Towbar,['PROPN'],['NORP'],1,0,2,['towbar']
US3300246A,1966-02-03,Bench,['PROPN'],[],1,0,2,['bench']
US3300408A,1967-01-24,Table ii,"['NOUN', 'PROPN']",[],1,0,2,"['table', 'ii']"
US3300670A,1962-02-28,Table xiv,"['NOUN', 'PROPN']",[],1,0,2,"['table', 'xiv']"
US3300808A,1963-11-30,Brush,['PROPN'],[],1,0,2,['brush']
US3301119A,1966-02-10,Drumstick,['PROPN'],[],1,0,2,['drumstick']
US3301201A,1964-09-29,Furnace,['PROPN'],[],1,0,2,['furnace']
US3301271A,1964-08-03,Anglecock,['PROPN'],[],1,0,2,['anglecock']
US3301475A,1965-06-09,Mailbox,['PROPN'],['ORG'],1,0,2,['mailbox']
US3301491A,1964-03-11,Atomizer,['PROPN'],['PRODUCT'],1,0,2,['atomizer']
US3301658A,1962-08-14,Fertilizer,['PROPN'],[],1,0,2,['fertilizer']
US3302071A,1967-01-31,Ml smn,"['PROPN', 'NOUN']",[],1,0,2,"['ml', 'smn']"
US3302230A,1964-10-30,Toothbrush,['PROPN'],[],1,0,2,['toothbrush']
US3302231A,1965-04-19,Mophead,['PROPN'],[],1,0,2,['mophead']
US3302238A,1965-02-10,Spinnerette,['PROPN'],[],1,0,2,['spinnerette']
US3302317A,1963-09-26,Grader,['PROPN'],[],1,0,2,['grader']
US3302345A,1964-05-14,Tower,['PROPN'],[],1,0,2,['tower']
US3302470A,1964-03-25,Vibrohammer,['PROPN'],[],1,0,2,['vibrohammer']
US3302495A,1963-08-06,Countersink,['PROPN'],[],1,0,2,['countersink']
US3302593A,1965-11-01,Pallet,['PROPN'],[],1,0,2,['pallet']
US3302859A,1964-12-21,Bag,['PROPN'],[],1,0,2,['bag']
US3302923A,1965-01-13,Turbine,['PROPN'],[],1,0,2,['turbine']
US3303219A,1961-11-20,Amines,['PROPN'],[],1,0,2,['amines']
US3303530A,1965-01-13,Spinnerette,['PROPN'],[],1,0,2,['spinnerette']
US3303531A,1965-02-26,Spinnerette,['PROPN'],[],1,0,2,['spinnerette']
US3303552A,1961-10-02,Broach,['PROPN'],[],1,0,2,['broach']
US3303598A,1965-08-30,Bobber,['PROPN'],[],1,0,2,['bobber']
US3303718A,1964-10-21,Governor,['PROPN'],[],1,0,2,['governor']
US3304946A,1965-06-01,Crutch,['PROPN'],[],1,0,2,['crutch']
US3304978A,1966-02-24,Purse,['PROPN'],[],1,0,2,['purse']
US3304979A,1965-06-03,Wallet,['PROPN'],[],1,0,2,['wallet']
US3305125A,1964-10-20,Tray,['PROPN'],[],1,0,2,['tray']
US3306058A,1964-10-23,Cryostat,['PROPN'],[],1,0,2,['cryostat']
US3306060A,1964-05-14,Siphon,['PROPN'],[],1,0,2,['siphon']
US3306246A,1963-04-17,Watercraft,['PROPN'],[],1,0,2,['watercraft']
US3306516A,1965-01-22,Box,['PROPN'],[],1,0,2,['box']
US3307504A,1965-12-01,Pallet,['PROPN'],[],1,0,2,['pallet']
US3307511A,1965-10-18,Catamarans,['PROPN'],['NORP'],1,0,2,['catamarans']
US3307874A,1966-02-23,Headrest,['PROPN'],[],1,0,2,['headrest']
US3308267A,1964-09-30,Vaporizer,['PROPN'],[],1,0,2,['vaporizer']
US3308493A,1964-12-21,Surfboard,['PROPN'],['ORG'],1,0,2,['surfboard']
US3308784A,1965-10-22,Bookmark,['PROPN'],[],1,0,2,['bookmark']
US3308834A,1960-05-05,Pipe,['PROPN'],[],1,0,2,['pipe']
US3308835A,1964-06-09,Compact,['PROPN'],[],1,0,2,['compact']
US3308861A,1960-07-01,Delimber,['PROPN'],[],1,0,2,['delimber']
US3309098A,1964-10-13,Skate,['PROPN'],[],1,0,2,['skate']
US3309620A,1967-03-14,De ment,"['PROPN', 'NOUN']",[],1,0,2,"['de', 'ment']"
US3309627A,1964-05-05,Waveguide,['PROPN'],[],1,0,2,['waveguide']
US3309734A,1964-05-21,Spinnerette,['PROPN'],[],1,0,2,['spinnerette']
US3310083A,1964-07-29,Nutcracker,['PROPN'],[],1,0,2,['nutcracker']
US3310187A,1965-09-14,Uncaser,['PROPN'],[],1,0,2,['uncaser']
US3310326A,1964-11-19,Retainer,['PROPN'],[],1,0,2,['retainer']
US3310787A,1965-04-23,Verifier,['PROPN'],[],1,0,2,['verifier']
US3310883A,1964-02-11,Trainer,['PROPN'],[],1,0,2,['trainer']
US3311061A,1964-06-25,Sabot,['PROPN'],[],1,0,2,['sabot']
US3311109A,1964-06-05,Spirometer,['PROPN'],[],1,0,2,['spirometer']
US3311303A,1965-09-28,Programmer,['PROPN'],[],1,0,2,['programmer']
US3311984A,1964-04-20,Dipstick,['PROPN'],[],1,0,2,['dipstick']
US3312099A,1964-03-09,Apparatus,['PROPN'],[],1,0,2,['apparatus']
US3312192A,1967-04-04,Heizaburo sato,"['PROPN', 'PROPN']",['GPE'],1,0,2,"['heizaburo', 'sato']"
US3312386A,1964-12-21,Fan,['PROPN'],[],1,0,2,['fan']
US3312395A,1967-04-04,Masaharu nara,"['PROPN', 'VERB']",['ORG'],1,0,2,"['masaharu', 'nara']"
US3313040A,1961-07-25,Dryer,['PROPN'],[],1,0,2,['dryer']
US3313199A,1964-03-06,Dowel,['PROPN'],[],1,0,2,['dowel']
US3313303A,1964-12-07,Binder,['PROPN'],[],1,0,2,['binder']
US3313304A,1966-05-04,Binder,['PROPN'],[],1,0,2,['binder']
US3313379A,1966-04-04,Brake,['PROPN'],[],1,0,2,['brake']
US3313483A,1963-06-20,Thermostat,['PROPN'],['GPE'],1,0,2,['thermostat']
US3313510A,1966-01-20,Dowel,['PROPN'],[],1,0,2,['dowel']
US3314155A,1965-08-02,Micrometer,['PROPN'],[],1,0,2,['micrometer']
US3314183A,1964-12-02,Firearm,['PROPN'],['ORG'],1,0,2,['firearm']
US3314221A,1964-08-03,Cottonpicker,['PROPN'],[],1,0,2,['cottonpicker']
US3314399A,1965-11-15,Apparatus,['PROPN'],[],1,0,2,['apparatus']
US3314421A,1965-05-04,Belt,['PROPN'],[],1,0,2,['belt']
US3314436A,1964-06-04,Compact,['PROPN'],[],1,0,2,['compact']
US3314460A,1964-04-15,Nutcracker,['PROPN'],[],1,0,2,['nutcracker']
US3314737A,1962-12-19,Retainer,['PROPN'],[],1,0,2,['retainer']
US3315072A,1965-08-16,Luminaire,['PROPN'],[],1,0,2,['luminaire']
US3315185A,1964-03-11,Waveguide,['PROPN'],[],1,0,2,['waveguide']
US3315325A,1965-04-02,Clip,['PROPN'],[],1,0,2,['clip']
US3315622A,1964-05-13,Vault,['PROPN'],['ORG'],1,0,2,['vault']
US3315877A,1965-09-14,Bag,['PROPN'],[],1,0,2,['bag']
US3315922A,1965-03-22,Kite,['PROPN'],[],1,0,2,['kite']
US3316903A,1963-09-26,Inhalator,['PROPN'],[],1,0,2,['inhalator']
US3317001A,1966-05-16,Muffler,['PROPN'],['NORP'],1,0,2,['muffler']
US3317031A,1965-07-13,Vibrator,['PROPN'],[],1,0,2,['vibrator']
US3317117A,1965-03-19,Bag,['PROPN'],[],1,0,2,['bag']
US3317937A,1965-06-15,Surfboard,['PROPN'],['ORG'],1,0,2,['surfboard']
US3317984A,1965-01-25,Broach,['PROPN'],[],1,0,2,['broach']
US3318510A,1965-09-21,Envelope,['PROPN'],[],1,0,2,['envelope']
US3318589A,1964-12-28,Desuperheater,['PROPN'],[],1,0,2,['desuperheater']
US3318755A,1964-08-24,Garland,['PROPN'],[],1,0,2,['garland']
US3319136A,1964-09-08,Rectifier,['PROPN'],[],1,0,2,['rectifier']
US3319534A,1965-01-29,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US3319575A,1965-06-14,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US3319848A,1965-07-02,Manikin,['PROPN'],[],1,0,2,['manikin']
US3319852A,1965-08-27,Sling,['PROPN'],[],1,0,2,['sling']
US3319872A,1966-05-23,Mailer,['PROPN'],[],1,0,2,['mailer']
US3319893A,1966-06-13,Sprinkler,['PROPN'],[],1,0,2,['sprinkler']
US3319912A,1964-06-18,Fastener,['PROPN'],[],1,0,2,['fastener']
US3320712A,1964-07-28,Fastener,['PROPN'],[],1,0,2,['fastener']
US3320909A,1964-11-09,Planter,['PROPN'],[],1,0,2,['planter']
US3321087A,1964-05-01,Pipette,['PROPN'],[],1,0,2,['pipette']
US3321153A,1966-01-18,Creel,['PROPN'],[],1,0,2,['creel']
US3321221A,1965-01-13,Fastener,['PROPN'],[],1,0,2,['fastener']
US3321841A,1963-06-19,Gyrocompass,['PROPN'],[],1,0,2,['gyrocompass']
US3321854A,1964-06-12,Indicator,['PROPN'],[],1,0,2,['indicator']
US3322129A,1965-09-30,Binder,['PROPN'],[],1,0,2,['binder']
US3322236A,1962-05-07,Brake,['PROPN'],[],1,0,2,['brake']
US3322329A,1965-10-20,Envelope,['PROPN'],[],1,0,2,['envelope']
US3322484A,1961-12-26,Solarventascope,['PROPN'],['GPE'],1,0,2,['solarventascope']
US3322676A,1961-10-25,Shampoos,['PROPN'],[],1,0,2,['shampoos']
US3322947A,1959-12-10,Derail,['PROPN'],[],1,0,2,['derail']
US3323154A,1965-10-07,Surfboard,['PROPN'],['ORG'],1,0,2,['surfboard']
US3323181A,1963-02-21,Fastener,['PROPN'],[],1,0,2,['fastener']
US3324079A,1963-07-05,Vinylmethoxypolysiloxane,['PROPN'],[],1,0,2,['vinylmethoxypolysiloxane']
US3324257A,1965-06-22,Programmer,['PROPN'],[],1,0,2,['programmer']
US3324305A,1962-06-27,Parametron,['PROPN'],['ORG'],1,0,2,['parametron']
US3324501A,1965-04-16,Carrier,['PROPN'],[],1,0,2,['carrier']
US3324515A,1966-05-12,Coiler,['PROPN'],[],1,0,2,['coiler']
US3324588A,1965-09-27,Gunstock,['PROPN'],[],1,0,2,['gunstock']
US3324772A,1964-05-29,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US3324823A,1965-10-24,Bookmark,['PROPN'],[],1,0,2,['bookmark']
US3325085A,1965-03-29,Compressor,['PROPN'],[],1,0,2,['compressor']
US3325091A,1965-10-18,Mailbox,['PROPN'],['ORG'],1,0,2,['mailbox']
US3325214A,1966-07-25,Headrest,['PROPN'],[],1,0,2,['headrest']
US3325620A,1963-02-07,Furnace,['PROPN'],[],1,0,2,['furnace']
US3325935A,1964-09-22,Lamp,['PROPN'],[],1,0,2,['lamp']
US3326119A,1963-12-09,Tray,['PROPN'],[],1,0,2,['tray']
US3326167A,1965-08-02,Tanker,['PROPN'],[],1,0,2,['tanker']
US3326430A,1965-01-22,Harness,['PROPN'],[],1,0,2,['harness']
US3326432A,1966-01-12,Harness,['PROPN'],[],1,0,2,['harness']
US3327279A,1964-09-11,Plug,['PROPN'],[],1,0,2,['plug']
US3327471A,1965-07-19,Clock,['PROPN'],[],1,0,2,['clock']
US3327487A,1963-03-21,Ernst karwat,"['PROPN', 'PROPN']",[],1,0,2,"['ernst', 'karwat']"
US3327593A,1964-12-04,Piston,['PROPN'],['GPE'],1,0,2,['piston']
US3327608A,1965-10-23,Diffuser,['PROPN'],[],1,0,2,['diffuser']
US3327620A,1965-04-08,Packer,['PROPN'],[],1,0,2,['packer']
US3327762A,1965-07-26,Furnace,['PROPN'],[],1,0,2,['furnace']
US3327811A,1966-10-28,Governor,['PROPN'],[],1,0,2,['governor']
US3328082A,1965-03-05,Headrest,['PROPN'],[],1,0,2,['headrest']
